"epsilon","delta","lb","ub","ci_lo","ci_hi","ci_lo_ptw","ci_hi_ptw","ci_lo_ptw_im04","ci_hi_ptw_im04","length_bound","no_zero","eps_zero","eps_zero_lo","eps_zero_hi","model"
0,"1",-0.0617851256111062,-0.0617851256111062,-0.0866992789518735,-0.0364265351367896,-0.084824743773544,-0.0387455074486683,-0.0848247651436967,-0.0387454860785156,0,1,0.09,0.0552910588521289,0.124708941147871,"x"
0.01,"1",-0.0694828201535683,-0.0548613988602006,-0.0943015869809187,-0.0295939316703482,-0.0924342286619629,-0.0319045710122279,-0.0889517031868728,-0.0353879187892752,0.0146214212933678,1,0.09,0.0552910588521289,0.124708941147871,"x"
0.02,"1",-0.0778583979602301,-0.0480658796543167,-0.102674782774449,-0.0228787177989352,-0.100807603677614,-0.0251820134421451,-0.0971194263720146,-0.0288596900060961,0.0297925183059134,1,0.09,0.0552910588521289,0.124708941147871,"x"
0.03,"1",-0.08675697996198,-0.0413210843405868,-0.111519638019576,-0.0162185846081199,-0.109656501311576,-0.0185141381365186,-0.105974723766892,-0.0221810314796167,0.0454358956213932,1,0.09,0.0552910588521289,0.124708941147871,"x"
0.04,"1",-0.0948472074488586,-0.0342739770564055,-0.11960874777702,-0.00922205670339004,-0.117745695166727,-0.0115129848887272,-0.114064082005497,-0.0151724915495872,0.0605732303924531,1,0.09,0.0552910588521289,0.124708941147871,"x"
0.05,"1",-0.100985919468551,-0.0271203106616952,-0.125539727391867,-0.00214284675572714,-0.123692304520029,-0.00442696610682254,-0.120041577577193,-0.00807559640185722,0.0738656088068559,1,0.09,0.0552910588521289,0.124708941147871,"x"
0.06,"1",-0.108396531956492,-0.0182157281607963,-0.132841671836372,0.00667229781518635,-0.131002425123178,0.00439635731312746,-0.127367855240592,0.000760791832923307,0.0901808037956955,1,0.09,0.0552910588521289,0.124708941147871,"x"
0.07,"1",-0.115404427310319,-0.0126693515881655,-0.13972078519281,0.0121202186256158,-0.137891228007538,0.00985328162817677,-0.134275805782581,0.00623209825970505,0.102735075722154,1,0.09,0.0552910588521289,0.124708941147871,"x"
0.08,"1",-0.121796455346668,-0.0055426396758606,-0.145985328296592,0.0192058983323015,-0.144165363048382,0.0169427136155274,-0.14056889562993,0.0133275241041205,0.116253815670808,1,0.09,0.0552910588521289,0.124708941147871,"x"
0.09,"1",-0.130848200785318,0.000943689212836242,-0.154922252767058,0.0256320275791615,-0.153110926622137,0.0233743479515897,-0.149531531097521,0.0197679522167561,0.131791889998154,0,0.09,0.0552910588521289,0.124708941147871,"x"
0.1,"1",-0.138242105651656,0.00726466005754677,-0.162251823381935,0.0318826640280755,-0.160445337731326,0.0296314162846649,-0.156875507598192,0.0260352947797633,0.145506765709202,0,0.09,0.0552910588521289,0.124708941147871,"x"
0.11,"1",-0.144925654566063,0.013066635681629,-0.168827823448429,0.0375313150973098,-0.167029429748449,0.0352940884564438,-0.163475590270532,0.0317203641259669,0.157992290247692,0,0.09,0.0552910588521289,0.124708941147871,"x"
0.12,"1",-0.152035334428849,0.019434402846116,-0.175860076594828,0.0437997972171746,-0.174067508463216,0.0415716499164909,-0.170525181000074,0.038012428836745,0.171469737274965,0,0.09,0.0552910588521289,0.124708941147871,"x"
0.13,"1",-0.15933530032697,0.0253578745020922,-0.183092380671174,0.0496492823391453,-0.181304903399501,0.0474279009004674,-0.177772636080045,0.0438794875436518,0.184693174829062,0,0.09,0.0552910588521289,0.124708941147871,"x"
0.14,"1",-0.165680215737736,0.0312270169015832,-0.189251685323067,0.0554475974436576,-0.187478173362284,0.0532326929633954,-0.183973503155277,0.0496946258376922,0.196907232639319,0,0.09,0.0552910588521289,0.124708941147871,"x"
0.15,"1",-0.173046126851693,0.0379308458487187,-0.196611597023634,0.0621178539000192,-0.194838536457337,0.0599060195303226,-0.19133475825943,0.0563728565697252,0.210976972700412,0,0.09,0.0552910588521289,0.124708941147871,"x"
0.16,"1",-0.179136169280231,0.0441594915813272,-0.202608025029563,0.0682883933452941,-0.200842007990935,0.066081872633374,-0.197352148639991,0.0625571976586303,0.223295660861559,0,0.09,0.0552910588521289,0.124708941147871,"x"
0.17,"1",-0.1852942957526,0.049557377738366,-0.208675711109939,0.0735484977602448,-0.206916498785644,0.0713545768040291,-0.203440086358159,0.0678500285579308,0.234851673490966,0,0.09,0.0552910588521289,0.124708941147871,"x"
0.18,"1",-0.191961881301472,0.0537506987138959,-0.215264983336558,0.0776117218435428,-0.213511663288652,0.075429697884964,-0.210046894698915,0.0719441537885293,0.245712580015368,0,0.09,0.0552910588521289,0.124708941147871,"x"
0.19,"1",-0.198479264549547,0.0592585260455081,-0.221693789348778,0.0830841910872969,-0.219947133831765,0.0809054005271527,-0.216495535146364,0.0774250214302961,0.257737790595056,0,0.09,0.0552910588521289,0.124708941147871,"x"
0.2,"1",-0.206097009427975,0.0657638767549167,-0.229204460091624,0.0894809499139227,-0.227465860807993,0.0873120897783311,-0.224030182196288,0.0838475734461974,0.271860886182891,0,0.09,0.0552910588521289,0.124708941147871,"x"
0,"1",-0.0617851256111062,-0.0617851256111062,-0.0859553169399476,-0.0362985496957025,-0.0848247437735441,-0.0387455074486683,-0.0848247651436967,-0.0387454860785156,0,1,0.08,0.0536091156014882,0.106390884398512,"xa"
0.01,"1",-0.0708601872041511,-0.0531145466919063,-0.0950181176727433,-0.0277581095258635,-0.0938881180144021,-0.0301925727003984,-0.0902752496242279,-0.0337888174501632,0.0177456405122448,1,0.08,0.0536091156014882,0.106390884398512,"xa"
0.02,"1",-0.0797876267558671,-0.0444549754630143,-0.10392355187285,-0.0193634204503912,-0.10279458152618,-0.0217724523766845,-0.0990957142239922,-0.0254191602444903,0.0353326512928529,1,0.08,0.0536091156014882,0.106390884398512,"xa"
0.03,"1",-0.0888030319946161,-0.0348517094401613,-0.112904352853981,-0.00993279061704448,-0.11177700113931,-0.0123252477996862,-0.108083252117387,-0.0159470466768348,0.0539513225544548,1,0.08,0.0536091156014882,0.106390884398512,"xa"
0.04,"1",-0.0973943305463592,-0.0281464488346917,-0.121471410881759,-0.00334012903573421,-0.120345193030101,-0.00572177562318031,-0.116655159066495,-0.009327209006429,0.0692478817116674,1,0.08,0.0536091156014882,0.106390884398512,"xa"
0.05,"1",-0.105524101747592,-0.0203155346866224,-0.129592793274283,0.00437247130832132,-0.128466967813479,0.00200218399020097,-0.124778219511945,-0.00158605326955708,0.0852085670609695,1,0.08,0.0536091156014882,0.106390884398512,"xa"
0.06,"1",-0.113717457222708,-0.0143697842358596,-0.137772253457942,0.0101909368147166,-0.136647077956563,0.00783287008215036,-0.132960459236219,0.00426313284139261,0.0993476729868489,1,0.08,0.0536091156014882,0.106390884398512,"xa"
0.07,"1",-0.121669303991706,-0.00752291301874872,-0.145715767285225,0.0169266445218039,-0.144590981561492,0.0145792505611942,-0.140905639941093,0.0110256701963168,0.114146390972957,1,0.08,0.0536091156014882,0.106390884398512,"xa"
0.08,"1",-0.129732985646272,0.000131089539677036,-0.153755466905171,0.0244958089217061,-0.152631802953478,0.0221565602447327,-0.148950136800412,0.0186153105412106,0.129864075185949,0,0.08,0.0536091156014882,0.106390884398512,"xa"
0.09,"1",-0.137734473159243,0.00967648323735052,-0.161738940684608,0.0336945292191354,-0.160616119334593,0.0313885645410518,-0.156937213951837,0.027897701507558,0.147410956396594,0,0.08,0.0536091156014882,0.106390884398512,"xa"
0.1,"1",-0.145968711220798,0.0176131199663141,-0.169932273785968,0.0415236658053584,-0.168811365786564,0.039228022180546,-0.165138729465102,0.0357527835768944,0.163581831187113,0,0.08,0.0536091156014882,0.106390884398512,"xa"
0.11,"1",-0.15341467054927,0.0247274199140253,-0.177368445456313,0.0483443284952897,-0.176247995279667,0.0460768768868105,-0.172576859006816,0.0426443165030781,0.178142090463296,0,0.08,0.0536091156014882,0.106390884398512,"xa"
0.12,"1",-0.161454408582625,0.0318944884356155,-0.185372979529062,0.0554062868658691,-0.184254176035831,0.0531489268483429,-0.180588435093663,0.0497316435250711,0.193348897018241,0,0.08,0.0536091156014882,0.106390884398512,"xa"
0.13,"1",-0.169477070613364,0.038933571076108,-0.193354289389584,0.0622351974625681,-0.192237420165444,0.0599980159936914,-0.188578016823619,0.0566112797773286,0.208410641689472,0,0.08,0.0536091156014882,0.106390884398512,"xa"
0.14,"1",-0.176790669346476,0.0439653159342131,-0.200653866024438,0.0671079663512236,-0.199537652691177,0.0648860481127734,-0.195880398364851,0.0615224179948579,0.220755985280689,0,0.08,0.0536091156014882,0.106390884398512,"xa"
0.15,"1",-0.184427640246631,0.0517645998203408,-0.208262771105659,0.0747901188429151,-0.207147870565556,0.0725794463510369,-0.203494917584061,0.0692328405012574,0.236192240066972,0,0.08,0.0536091156014882,0.106390884398512,"xa"
0.16,"1",-0.191487695119497,0.0577753464153185,-0.215295590053995,0.0806605852742704,-0.21418196348831,0.0784633810346636,-0.210533184662699,0.0751371639724605,0.249263041534816,0,0.08,0.0536091156014882,0.106390884398512,"xa"
0.17,"1",-0.198710609637361,0.0650981046241025,-0.222498083267079,0.0878421148633993,-0.221385411918458,0.085658469937015,-0.21773976284559,0.0823527795141563,0.263808714261463,0,0.08,0.0536091156014882,0.106390884398512,"xa"
0.18,"1",-0.206093396949194,0.0722585980611273,-0.229841369615429,0.0948857924519054,-0.22873054594475,0.0927133629766335,-0.225090950757769,0.0894246509594132,0.278351995010321,0,0.08,0.0536091156014882,0.106390884398512,"xa"
0.19,"1",-0.213617975142532,0.0797162195867267,-0.237331894403616,0.102206757093697,-0.236222663598527,0.100047448000796,-0.232588287409026,0.0967785981515604,0.293334194729259,0,0.08,0.0536091156014882,0.106390884398512,"xa"
0.2,"1",-0.220891077542327,0.0862670035136516,-0.244566735968331,0.108670100965478,-0.243459294833538,0.10651918696345,-0.239830782468843,0.103263045943916,0.307158081055978,0,0.08,0.0536091156014882,0.106390884398512,"xa"
